url,type
ratemds.com/doctor-ratings/2729112/Dr-ROBERT-WERTHEIMER-WEST-CALDWELL-NJ.html,benign
en.wikipedia.org/wiki/57th_National_Hockey_League_All-Star_Game,benign
rekkerd.org/audiokinetic-partners-with-audio-ease-altiverb-impulse-responses-available-for-wwise/,benign
encyclopedia.com/doc/1E1-E-Jeffries.html,benign
cvbnmnb.ga,phishing
pipl.com/directory/people/Jean/Desroches,benign
http://chelurao.ru/index.php?option=com_content&view=article&id=7&Itemid=8&lang=ru,phishing
whoosh.org/epguide/herk/herk.html,benign
http://www.lgk-luzern.ch/index.php?option=com_content&view=article&id=29&Itemid=43,phishing
sssmovie.blogspot.com/,benign
max-sherry.suite101.com/2010-ncaa-mens-basketball-tournament-schedule-a200983,benign
dailydosh.blogspot.com/,benign
brianjenkins5.articlesbase.com/,benign
jasonmagbanua.com/2009/03/31/dan-and-dena-keplinger-2-days-before-the-wedding/,benign
zimbio.com/photos/Drew+Gooden/Brandon+Bass,benign
gomontreal.about.com/,benign
twu.ca/athletics/mens-soccer/schedule-and-scores/2007-08/2008-04-12.html,benign
hotel-royalty.com/,benign
absoluteastronomy.com/topics/2007_Iowa_Hawkeyes_football_team,benign
imdb.com/date/11-24/births,benign
amazon.com/Some-Are-Lakes-Land-Talk/dp/B001EOQUCS,benign
amazon.com/Art-Architecture-China-Pelican-History/dp/0140560106,benign
plantsanimals.blogspot.com/,benign
http://www.bruecke-erding.de/index.php?view=weblink&catid=19:web-links&id=12:jugendamt-freising&option=com_weblinks&Itemid=48,phishing
maxpreps.com/athletes/5Sz7NAI1T0KiH_Tus62wOQ/baseball-spring-11/profile-travis-sweeney.htm,benign
5min.com/Video/Guitar-Solo-Technique-Lesson-125398057,benign
topozone.com/states/Ohio.asp?county=Allen&feature=Cemetery,benign
en.wikipedia.org/wiki/Bob_Maskell,benign
http://www.foehn.es/promociones-en-foeehn,phishing
signscompanies.com/in/virginia,benign
film-book.com/megan-fox-transformers-3-set-photos/,benign
http://kakaku.com/pc/bluetooth-adapter/ranking_0067/pricedown/div-gpt-ad-k/header_text,benign
music.yahoo.com/ghislain-poirier/,benign
evri.com/person/frederick-berndt-schine-0x9854e,benign
http://www.deliaclaudio.it/index.php?option=com_content&view=article&id=125:piccola-bottega-di-architettura&catid=31:eseguiti&Itemid=50,phishing
city-data.com/elec2/elec-ALAMO-CA.html,benign
http://correios.com.br/para-voce/precisa-de-ajuda/proibicoes-e-restricoes/restricoes-para-envios-com-destinos-internacionais,benign
nicolekidmanunited.com/NicoleKidmanFilmography/filmthehumanstain2003.html,benign
ebay.com/ctg/Classics-Patty-Loveless-CD-Mar-1999-Epic-USA-/3312145/r.html,benign
manta.com/mb_55_F20D302W_BFP/catholic_senior_high_school/kansas_city_mo,benign
corporationwiki.com/California/Santa-Rosa/sykes-ronald-w-9384594.aspx,benign
outdooroutfitters.com/schmidt-bender-riflescopes.aspx,benign
http://mylust.com/videos/226624/lewd-amateur-girl-sucks-my-cock-lazily-in-pov-clip/,benign
hispanicprwire.com/news.php?l=in&id=11392,benign
citizendia.org/Lyndon_B._Johnson,benign
http://icicibank.com/Personal-Banking/offers/offer-detail.page?id=offer-yatra-hotel-offer-20150604134542408,benign
books.usatoday.com/book/patricia-bosworth-jane-fonda-the-private-life-of-a-public-woman/r545284,benign
babylonbaroque.wordpress.com/category/francois-boucher/,benign
icehockey.wikia.com/wiki/Dean_Boylan,benign
ousd.k12.ca.us/ousd/site/default.asp,benign
rooftopfilms.com/2011/venues/the-old-american-can-factory,benign
forum.juhlin.com/showthread.php?t=146,benign
http://www.berufungswege.de/impulskalender/januar.html,phishing
wn.com/Delroy_Lindo,benign
asiancanadianprofilesatsamsteele.blogspot.com/,benign
funtocollect.com/gundplushbears.html,benign
pwhf.org/halloffamers/bios/pat_oconnor.asp,benign
examiner.com/video-game-in-national/killzone-3-single-player-demo-available-to-everyone,benign
http://www.clinick.com.br/index.php?option=com_content&view=article&id=116:doacoes-26092010&catid=57:doacoes&Itemid=27,phishing
duongphuocviet.info,phishing
myspace.com/montagmania,benign
oldwillysforum.com,phishing
worthpoint.com/worthopedia/elegant-antique-officeholder-cloisonne-dish,benign
youtube.com/watch?v=osZFj-L5mp0,benign
http://norwestcooling.com/products/gaskets-a-grommets.html?tmpl=component&print=1&page=,phishing
paleobiology.si.edu/dinosaurs/,benign
nictaa.af/,benign
sports.espn.go.com/extra/mma/news/story?id=5445786,benign
http://www.domusviatoris.com/index.php?option=com_content&view=article&id=69:cea&catid=28:de-fin-de-semana&Itemid=24,phishing
ocs-community.com/,benign
sonjamccord.com/,benign
fanpix.net/gallery/cameron-dye-pictures.htm,benign
http://www.markeven.it/network/58.html,phishing
corporationwiki.com/Pennsylvania/Chalfont/dengel-brian-g-8883233.aspx,benign
http://bestportgroup.com/index.php?view=article&catid=25:the-project&id=61:contact-us&tmpl=component&print=1&layout=default&page=&option=com_content&Itemid=80,phishing
music.yahoo.com/quo-vadis/,benign
http://torcache.net/torrent/ED5DB126CE3BFE56BFE57E5248979B67B044DDB3.torrent?title=[kickass.to]super.hot.indian.hooker.sex.in.a.hotel.with.audio.recorded.by.a.friend.avi,benign
wsxzsopedia21.club,phishing
fredcoffeeco.com/calendar/index.htm,benign
http://www.wxlottery.com/wfjs/11x5/index.html,phishing
funnymanbob.com/,benign
facebook.com/people/Tim-Folwell/100000854908198,benign
en.wikipedia.org/wiki/Plunkett_%26_Macleane,benign
googledrive7.org,phishing
yelp.com/biz/touch-companies-rosemont,benign
religion.wikia.com/wiki/John_D._Faris,benign
betagammapikes.com/,benign
trademarkia.com/aveos-77709883.html,benign
http://www.bfgmek.no/index.php?option=com_content&view=article&id=10&Itemid=43,phishing
dog-games.blogspot.com/,benign
http://themeforest.net/item/medicallink-responsive-medical-wordpress-theme/10955291,benign
wikibin.org/articles/grimsby-town-f.c.-past-squads-and-players-3.html,benign
http://www.coleyglesias.com/index.php?option=com_content&view=category&layout=blog&id=49&Itemid=65,phishing
eastbay.citysearch.com/profile/map/36591072/oakland_ca/patten_university.html,benign
http://www.com-turning.com/-------t/390ce91579516d85ee1271a0bb9ea0d6/login.php,phishing
classmates.com/directory/college/Edouard-Montpetit%20College?org=17838321,benign
customerservicescoreboard.com/Continental+Airlines,benign
clydesdalesvic.org.au/,benign
triniefudo.livejournal.com/1984.html,benign
facebook.com/people/Cam-Clarke/572455121,benign
http://pastehtml.com/view/bpq33z98l.html,phishing
people.famouswhy.com/robert_altman/,benign
http://www.liceorutigliano.com/index.php?option=com_weblinks&view=category&id=2&Itemid=147,phishing
superpages.com/bp/Belmar-NJ/Sonetronics-INC-L0001567250.htm,benign
youtube.com/watch?v=ax-rDRd7Kw0,benign
http://josecampuzano.net/index2.php?option=com_oziogallery2&view=05imagerotator&Itemid=90,phishing
amazon.com/BEST-HORROR-FILMS-OF-2002-2003/lm/R31B0XWK7E1LHO,benign
mb-soft.com/believe/tsh/abraham.htm,benign
answers.yahoo.com/question/index?qid=20110119131118AAFu3t4,benign
http://www.friendshipchurchonline.org/index.php?option=com_jevents&task=icalrepeat.detail&evid=3954&Itemid=21&year=2013&month=03&day=27&title=bible-study-in-psalms&uid=fe4deb5f684fbb0f4bf46b91f968659f,phishing
youtube.com/watch?v=7CUM0s5sL1w,benign
freebase.com/view/user/masouras/default_domain/views/films_released_in_1985,benign
caed.uscourts.gov/caed/staticOther/page_1635.htm,benign
tribute.ca/people/elden-henson/2508/,benign
http://www.ant-u.com/index.php?limitstart=20,phishing
legacy.com/obituaries/startribune/obituary.aspx?n=phyllis-h-fraser&pid=148241225&fhid=9267,benign
web.me.com/byusar03/web.me.com_byusar03/Unit_5__Did_the_Bank_War_of_1837.html,benign
http://www.czdesign.cz/component/k2/itemlist/category/8-exterier.html,phishing
imdb.com/name/nm2942548/bio,benign
facebook.com/pages/I-love-being-in-that-mood-where-everything-is-hilarious/319265909834,benign
scgsgenealogy.com/,benign
http://www.sandomenicoresidence.com/index.php?option=com_content&view=article&id=27&Itemid=2&lang=it,phishing
http://extratorrent.cc/torrent_download/4190553/My+Morning+Jacket+-+One+Big+Holiday+%5B6CD%5D+%5B2015%5D+%5BMP3-320KBPS%5D+%5BH4CKUS%5D+%5BGloDLS%5D.torrent,benign
deerbrook.com/auto_safety/passenger_safety/seat_belts.asp,benign
napoleon.org/en/reading_room/articles/files/mercure_chantal.asp,benign
facebook.com/lateef.okunnu,benign
verticalwavepbxphonesystem.com/,benign
http://jasquaniel.com/index.php?option=com_content&view=article&id=81&Itemid=5,phishing
quote.morningstar.com/quote/quote.aspx?ticker=ACEAF,benign
http://appelboerderij.nl/component/user/reset,phishing
facebook.com/people/Marie-eve-Gibeau/771499888,benign
restaurantleseingalt.foodpages.ca/,benign
http://www.q-com.eu/unternehmen.html?vsig58_0=2,phishing
songlyrics.com/the-gadjits/traffic-tickets-lyrics/,benign
linkedin.com/pub/dir/jason/cropper,benign
sidereel.com/Blue_Gender,benign
http://go.fiveminutevideomarketing.com/wp-content/themes/twentyten/languages/v/login.php,phishing
ougrizzlies.com/,benign
wiki.answers.com/Q/What_is_the_Epic_hero_cycle_for_the_Odyssey,benign
facebook.com/Dmac.is.hurdles,benign
realhairstyles.com/,benign
sunsky-online.com/view/19205/50+++Elders+%26+Children+Super+Simple+GSM+Unlocked+Mobile+Phone++Support+FM+radio++LED+Flashlight++SOS+function++Quad+band++Network++GSM850++900+++1800++1900MHZ+.htm,benign
linkedin.com/pub/dir/richard/godfrey/gb-0-United-Kingdom/,benign
fws.gov/northeast/forsythe/holgate_guidelines.html,benign
randomhouse.ca/richler/,benign
ruckus.org/,benign
athlonsports.com/college-basketball/2011-college-basketball-preview-baylor-bears,benign
photos.lucywho.com/cliff-arquette-photos-t51490.html,benign
indeed.com/q-hallmark-cards-jobs.html,benign
http://perezhilton.com/2015-05-12-simon-cowell-reportedly-creating-new-show-for-fox/?from=readmore_perezhilton&,benign
http://pornsharing.com/beautiful-latina-eva-saldana-with-tiny-tits-and-bald-pussy_v79195,benign
newswire.ca/en/story/651491/raymond-chabot-grant-thornton-in-full-expansion,benign
cagenweb.com/archives/Biography/AlamedaCounty/PardeeHonGeorgeC.htm,benign
http://censor.net.ua/resonance/332964/pavel_hazan_byli_razveddannye_o_tom_chto_menya_sobirayutsya_unichtojit_ofitsery_spetssvyazi_daje_ohranu,benign
http://www.sting-miyamoto.com/liveschedule/178-live20130206.html?tmpl=component&print=1&layout=default&page=,phishing
greatseats.com/seating_charts/Starlight_Theatre_MO.asp,benign
foryourart.com/2011/11/plan-foryourart-today-l-a-57/,benign
facebook.com/people/Paul-Clewes/757445295,benign
falltvpreview.com/premieres.php?dateStart=2011-08-01&amp;dateEnd=2012-01-01&amp;type=Manitoba&amp;ds=ByDate,benign
local.yahoo.com/info-12224763-trichon-martin-l-kogan-trichon-wertheimer-philadelphia,benign
http://www.borg4x4.org/index.php?option=com_jcalpro&Itemid=61&extmode=view&extid=28,phishing
wiki.worldflicks.org/lac_des_deux-montagnes.html,benign
youtube.com/watch?v=eUvApC0bwUk,benign
http://www.bachstein-service.de/unsere-leistungen.html,phishing
http://9779.info/%E6%BC%82%E4%BA%AE%E5%A2%99%E7%BA%B8%E8%B4%B4%E7%94%BB/,phishing
pandlconstruction.co.uk,phishing
cs.utah.edu/,benign
melvin.ning.com.hostlogr.com/,benign
bellacouture.us,phishing
hotelquebec.com/quebec-fireworks.html,benign
http://www.bethmar.com/includes/EDF/EDF/lina/EDF/subscribers00/requeste/4f36e9bf151f60c2114d2a94545ee9cc/access-confirma.php,phishing
loveforlife.com.au/content/08/11/29/solutions-commerce-winston-shrout-website-accepted-value-strawman-utilizing-birth-c,benign
americanhistory.about.com/od/jamesgarfield/a/ff_j_garfield.htm,benign
askmen.com/celebs/women/models/maryse-ouellet/index.html,benign
http://www.perthshire-caravans.co.uk/stock-list/caravans/new/1147-bailey-olympus-530-42,phishing
vimeo.com/6794723,benign
gt-i9250.com/,benign
http://www.vittorioguzzo.it/rassegne-stampa-fino-al-01102011/141-teatro-italia-itrieri-ha-aperto-le-porte-alla-3-edizione-della-corrida-cosentina.html,phishing
http://www.ccent.com.au/index.php?option=com_mailto&tmpl=component&link=aHR0cDovL3d3dy5jY2VudC5jb20uYXUvaW5kZXgucGhwP29wdGlvbj1jb21fY29udGVudCZ2aWV3PWFydGljbGUmaWQ9MTgwOndob2xlLWxvdHRhLWxvdmUtYXQtdGhlLWVubW9yZSZjYXRpZD00NDp3aG9sZS1sb3R0YS1sb3ZlJkl0ZW1pZD0yMDY=,phishing
merrittcollege.blogspot.com/,benign
raygalletti.com/,benign
http://techcrunch.com/2012/02/29/pandora-competitor-senzari-arrives-in-spain-with-new-look-facebook-based-recommendations/,benign
movies.yahoo.com/movie/1807600137/info,benign
gamblershockey.com/newsys-nation,benign
sports.yahoo.com/nba/news?slug=ys-nbabillies010410&prov=yhoo&type=lgns,benign
slovenia-heritage.net/dolenjski-muzej/eindex.htm,benign
wellness.com/dir/2091458/pediatrician/fl/wellington/lawrence-bergman-md,benign
gspcofohio.org/,benign
parl.gc.ca/HousePublications/Publication.aspx?DocId=5064709&Language=E&Mode=1&Parl=40&Ses=3,benign
findagrave.com/cgi-bin/fg.cgi?page=gr&GRid=54764642,benign
wiki.answers.com/Q/Was_the_son_of_Andre_the_Giant_the_guy_from_the_wrestling_group_that_ICP_started,benign
http://www.alliedmanagedcare.com/about-amc/contact-us.html,phishing
epodunk.com/cgi-bin/genInfo.php?locIndex=13646,benign
content.usatoday.com/community/tags/topic.aspx?req=tag&tag=Puerto%20Rico%20Islanders,benign
facebook.com/people/Nick-Kingman/1318233036,benign
slgpublishing.net/,benign
kkd-consulting.com,phishing
http://chinesevie.com/index.php?option=com_weblinks&view=category&id=63&Itemid=60&lang=en,phishing
people.famouswhy.com/tom_selleck/,benign
pwwew.net/ppv/wwf/march/v.htm,benign
facebook.com/people/Aaron-Barr/507925577,benign
sos.mo.gov/archives/history/historicallistings/judges.asp,benign
theprivatelyheldcompany.com/v13q2/papay/,benign
californiadaytrips.blogspot.com/2008/02/irvine-park-railroad.html,benign
mylife.com/jimbergstrand,benign
http://www.jypw.net/a.htm,phishing
http://www.pomorskie-lzs.pl/index.php?option=com_content&view=article&id=135:ponad-300-modych-pikarzy-na-el-professionalkaszub-cup-dla-rocznika-2001-w-luzinie&catid=10:gowna-strona&Itemid=1,phishing
f1carsetup.com/index.php/forum/60-canadian-grand-prix/,benign
ayahbdeir.com/index.php?/about/biography/,benign
buddytv.com/frances-oconnor.aspx,benign
facebook.com/AmericanWaterWorksAssociation,benign
knowledge.wharton.upenn.edu/article.cfm?articleid=32&source=rss,benign
unl.edu/choir/,benign
http://djsipke.nl/foto-album/5-druiprock-2010/detail/300-p8148761.html?tmpl=component,phishing
dashtours.com/,benign
buy.com/prod/rob-neyer-s-big-book-of-baseball-legends/205102037.html,benign
publicsectorpages.co.uk/ads/chris-burford-personal-training-luton/,benign
http://paulaporto.com/bolos/bolos-infantis/disney,phishing
lovelypackage.com/understory-chocolatiers/,benign
gutenberg.org/files/12137/12137-h/12137-h.htm,benign
weirdnews.about.com/od/othersports/ss/Baseball-World-Series-Mug-Shots_15.htm,benign
profilecanada.com/companydetail.cfm?company=2562059_Jean_Coutu_Lachenaie_QC,benign
mediacenter.motorola.com/content/Detail.aspx?ReleaseID=11030&NewsAreaID=2,benign
airclubforpets.com/,benign
adb.anu.edu.au/biography/parry-okeden-william-edward-7965,benign
http://www.prhelp.com.au/index.php.1,phishing
uspokerplayersaccepted.com/,benign
realtor.com/property-search/New-Orleans_LA/Saint-Denis-St?source=hp,benign
agrifoodbiz.com/,benign
ecomanyattahousing.com,phishing
ezinearticles.com/?Simple-Business-Plan-Template---Keep-it-Simple&id=4750386,benign
facebook.com/pages/Brigitte-Bako/120705954652714,benign
roadtraffic-technology.com/projects/caldecotttunnel/,benign
myspace.com/269210695,benign
http://www.tvsk.com.au/index.php?option=com_redshop&view=ask_question&pid=1&tmpl=component&Itemid=26,phishing
http://deriair.com.au/index.php?option=com_virtuemart&page=shop.browse&category_id=14&Itemid=64,phishing
youtube.com/watch?v=8NXAHXYRpGI,benign
geni.com/people/Henry-IV-de-Bourbon/6000000001479508039,benign
http://www.pmu-pleven.com/index.php?option=com_content&view=article&id=27&Itemid=45,phishing
nilsjeppe.com/,benign
absoluteastronomy.com/topics/Don_Bluth,benign
http://plarium.com/ru/igri-strategii/voyni-prestolov/novosti/volshebnoe-prevrashhenie/,benign
http://www.schoolvoorontwikkeling.nl/wat-doen-we/trainingen/252-leiding-geven,phishing
vitals.com/doctors/Dr_Michael_S_Garrison.html,benign
http://spmenglishschool.com/area-of-strength-sports.html,phishing
tutorgig.com/ed/RKO_Radio_Pictures,benign
fukgames.com/free-games/1401389/yoopa,benign
http://www.natureandart.ch/presse,phishing
learn-math.info/historyDetail.htm?id=Neyman,benign
amazon.com/Fighter-Still-Remains-George-Kimball/dp/0979994756,benign
http://wikiwiki.jp/sample/?%A5%C7%A5%B6%A5%A4%A5%F3%A5%C6%A5%F3%A5%D7%A5%EC%A1%BC%A5%C8%2Fdefault_darkpink_z,benign
http://censor.net.ua/news/336009/eta_stranitsa_v_istorii_mvd_perevernuta_geraschenko_ob_otstavke_chebotarya,benign
storrent.net/interstitial?q=%20Reid%20Smith%20(as%20Andy%20Stevens),benign
http://thenextweb.com/apps/2011/07/24/the-complete-list-of-top-instagram-apps/carousel/,benign
http://iosges.com/index.php/nss-web-productos/nss-web-art-lopd,phishing
http://sustainmeant.com/index.php?option=com_content&view=article&id=64&Itemid=77&lang=nl,phishing
http://www.nabu-gaildorf.de/index.php?option=com_jevents&task=day.listevents&year=2013&month=01&day=08&Itemid=33,phishing
ww.iafd.com/,benign
animator.ru/db/?ver=eng&p=films,benign
theovariancancersymptoms.org/,benign
drownedinsound.com/community,benign
desertusa.com/magjan98/stories/opal.html,benign
en.wikipedia.org/wiki/Jacques_Dernier,benign
video.mapleleafs.nhl.com/videocenter/console?id=119098,benign
sihrhockey.org/public_player_list.cfm?letter=g&PageNum_qPlayers=10&league_filter=all,benign
justmakethisthingshappen.xyz,phishing
davidgemmelluniverse.com/index.php?title=The_Last_Guardian,benign
http://chinesevie.com/index.php?option=com_content&view=article&id=105&Itemid=130&lang=en,phishing
books.google.com/books/about/Orality_and_literacy.html?id=v21lePvZZ6YC,benign
http://www.mariettachurchofgod.com/church-news/71-global-church-news/507-online-purchases.html,phishing
http://icicibank.com/wealth-management/offers/offer-detail.page?id=offer-taj-holidays-20142801121113684,benign
http://adonaicapital.com/wp-content/themes/arthemia/43534534534/,phishing
evri.com/person/virginia-true-boardman-0x447c9,benign
http://weiterbildungskolleg-lippstadt.de/index.php?option=com_content&view=article&id=96&Itemid=109,phishing
all-acronyms.com/RCT,benign
listenhear.info/pimsleur-russian/,benign
facebook.com/chromeo,benign
piano-lessons-central.com/music-notation/circle-of-fifths/,benign
http://gazomer.com/vodonagrevateli,phishing
http://www.portaflores.com/index.php?option=com_user&view=reset,phishing
thefreelibrary.com/City+of+Oakland%2c+Bank+of+America%2c+Freddie+Mac+and+Local+Non-profit...-a055752946,benign
facebook.com/pages/Paramount-Theatre-of-the-Arts/54871398859,benign
http://www.besztercekk.hu/index.php?option=com_lr&view=stadium&id=44&Itemid=161,phishing
laughingsquid.com/jason-shiga-describes-his-newest-book-meanwhile/,benign
umary.edu/athletics/men/basketball.php,benign
http://www.productiva.com.br/index.php?view=article&catid=43:productiva&id=106:gerador-de-relatorios-web&tmpl=component&print=1&layout=default&page=&option=com_content&Itemid=154,phishing
familytreemaker.genealogy.com/users/l/h/e/Robert-Lheureux/GENE16-0182.html,benign
http://www.textilexpres.com/TE/index.php?option=com_content&view=category&id=911:ferias-textiles&Itemid=66&layout=default,phishing
http://www.schuetzenverein-beelen.de/index.php?option=com_mailto&tmpl=component&link=aHR0cDovL3d3dy5zY2h1ZXR6ZW52ZXJlaW4tYmVlbGVuLmRlL2luZGV4LnBocD9vcHRpb249Y29tX2NvbnRlbnQmdmlldz1hcnRpY2xlJmlkPTY1OnN0YXJ0c2VpdGUmY2F0aWQ9MTpzY2h1ZXR6ZW52ZXJlaW4tYmVlbGVu,phishing
answers.yahoo.com/question/index?qid=20080508160641AA7sF0Q,benign
http://www.borlangedance.se/index.php?option=com_hwdphotoshare&task=rate&photoid=24&rating=3,phishing
pokernewsdaily.com/jamie-gold-launches-legal-u-s-online-poker-room-19938/,benign
youtube.com/watch?v=JDtthEVU0hg,benign
http://www.generalcustom.com.br/index.php?option=com_content&view=article&id=72&Itemid=71,phishing
http://olx.ro/i2/servicii-afaceri-colaborari/servicii-auto-transporturi/servicii-de-transport/servicii-afaceri-colaborari/servicii-auto-transporturi/servicii-de-transport,benign
5feataet.cf,phishing
burbankleader.com/,benign
wyattfarms.com/,benign
ktvb.com/video/featured-videos/Oregon-couple-becomes-unintentional-web-sensation-129815008.html,benign
http://extratorrent.cc/torrent/4188922/Stretch.2014.1080p.BluRay.AC3.x264-ETRG.html,benign
academiabarilla.com/italian-culinary-tradition/bread-pasta-starchy-foods/coppia-ferrarese.aspx,benign
awm-math.org/noetherbrochure/Robinson82.html,benign
decor-a-shaan.com.au/,benign
richards1052.tripod.com/richardshomepage/id26.html,benign
lyricsmania.com/blackguard_lyrics.html,benign
http://raulthomas.com/index.php?option=com_contact&view=contact&id=1&Itemid=30,phishing
batteries.sabr.org/12319.htm,benign
http://patch.com/new-jersey/brick/moms-who-rock-lynne-nonnie-porter-hospital-volunteer-0/,benign
fernmotel.co.nz/attractions-napier.html,benign
helpageindia.org/,benign
cheatmasters.com/cheats/26577/FIFA_Soccer_2005_cheats.html,benign
shop.dollydears.com/,benign
http://www.gallacher-sons.co.uk/index.php?option=com_content&view=article&id=57&Itemid=63,phishing
myspace.com/celesttiani/blog/150650274,benign
espn.go.com/mens-college-basketball/team/_/id/2065/bethune-cookman-wildcats,benign
jwgrissom.crye-leike.com/about.php,benign
autograph-sports.com/s3_Phil_Villapiano.asp,benign
http://jtbgreece.com/en/europe-short-escapes?page=shop.product_details&flypage=flypage.tpl&product_id=11&category_id=1,phishing
http://casalpopular.org/index.php?option=com_content&view=category&layout=blog&id=9&Itemid=10,phishing
manta.com/c/mmy3lx1/handmark-window-co,benign
http://www.motiv8.cz/personalistika/inspirace-stevem-jobsem.html,phishing
sexy-sandy.com/,benign
en.wikipedia.org/wiki/Adgate,benign
dollarstoretoybox.com/dollarama/,benign
http://www.schybirockt.ch/guestbook.html?start=105,phishing
statshockey.homestead.com/hockeynicknames.html,benign
myspace.com/chelseaperetti/photos,benign
myspace.com/bigrenz,benign
associatedcontent.com/article/2181963/review_report_of_romeo_and_juliet_1968.html,benign
footballfanatics.com/COLLEGE_Kansas_State_Wildcats_T-Shirts,benign
http://www.psdb-ce.org.br/index.php?option=com_user&view=login&Itemid=5,phishing
http://www.food-nrw.de/index.php/landesehrenpreis/koeln/bilder-koeln,phishing
http://elitedaily.com/life/culture/people-places-and-things-people-from-denver-understand/1020166/,benign
linkedin.com/in/randallkimsey,benign
stockhouse.com/News/USReleasesDetail.aspx?n=8350750,benign
http://www.garage-pirenne.be/index.php?option=com_content&view=article&id=70&vsig70_0=8,phishing
filmbug.com/db/344047,benign
facebook.com/people/Alwyn-Jones/100000383920555,benign
ca.linkedin.com/in/andreproy,benign
http://www.sportraad-maasmechelen.be/index.php?option=com_contact&view=contact&id=14:jef-opdenacker&catid=1:leden&Itemid=2,phishing
jload.info/2009/arashi-%e5%b5%90-all-the-best-1999-2009/,benign
guimet-grandidier.fr/html/4/outils/bibliographie_a.htm,benign
news.nationalpost.com/tag/lucien-saulnier/,benign
http://www.bestwesternalfaaeropuerto.com/ck.htm,phishing
http://www.welcoms.co.uk/index.php?option=com_content&view=article&id=49&Itemid=57,phishing
weather.yahoo.com/united-states/texas/albany-2352641/,benign
mahalo.com/marilyn-monroe/,benign
pbs1914.org/,benign
http://blueanchor.nl/dintelmarkt/page/show_category/catid/8.html,phishing
edimage.ca/edimage/grandspersonnages/en/carte_m03.html,benign
linda-ashar.suite101.com/barkerkarpis-gang-public-enemies-kidnappers-a143756,benign
post-gazette.com/pg/10030/1032299-63.stm,benign
http://us.battle.net-wow-net.d3-account.net/battle_net_account.php?ref=https://us.battle.net/account/management/index.xml&amp;app=bam,phishing
vimeo.com/7137374,benign
